,date,FTR,bk_H,bk_D,bk_A,Prob_bk_H,Prob_bk_D,Prob_bk_A,possession_h_moy,possession_a_moy,points_h,points_a,points_h_last_5,points_a_last_5,total_goals_h,total_goals_a,total_goals_taken_h,total_goals_taken_a,total_ontarget_h,total_ontarget_a,total_shot_off_target_h,total_shot_off_target_a,total_blocked_scoring_att_h,total_blocked_scoring_att_a,mean_rating_home,mean_rating_away,H_Arsenal,H_Aston Villa,H_Bournemouth,H_Chelsea,H_Crystal Palace,H_Everton,H_Leicester,H_Liverpool,H_Man City,H_Man United,H_Norwich,H_Southampton,H_Stoke,H_Sunderland,H_Swansea,H_Tottenham,H_Watford,H_West Brom,H_West Ham,A_Arsenal,A_Aston Villa,A_Bournemouth,A_Chelsea,A_Crystal Palace,A_Everton,A_Leicester,A_Liverpool,A_Man City,A_Man United,A_Norwich,A_Southampton,A_Stoke,A_Sunderland,A_Swansea,A_Tottenham,A_Watford,A_West Brom,A_West Ham
172,2016-02-01,0,1.57,4.3,8.55,0.637,0.233,0.117,58.24,51.91,29,16,2,5,22,14,16,24,61,64,110,48,57,56,6.79,6.67,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
173,2016-02-01,0,3.25,3.49,2.58,0.308,0.287,0.388,47.52,50.44,20,23,7,4,20,24,26,21,64,84,137,77,41,57,6.66,6.84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
174,2016-02-01,0,2.5,3.34,3.2,0.4,0.299,0.312,41.61,53.59,9,7,0,2,16,14,38,33,61,55,121,52,50,53,6.63,6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2016-02-01,2,5.2,4.11,1.76,0.192,0.243,0.568,48.53,58.7,26,33,10,7,22,31,19,19,67,113,130,54,70,92,6.84,6.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
176,2016-02-01,0,2.88,3.2,2.88,0.347,0.312,0.347,41.79,49.26,20,28,3,10,17,20,24,19,53,62,108,50,35,44,6.71,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
177,2016-02-01,0,4.28,3.62,2.1,0.234,0.276,0.476,47.63,61.32,26,30,7,10,26,22,23,20,82,91,136,70,57,94,6.86,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
178,2016-03-01,2,4.16,3.51,2.2,0.24,0.285,0.455,47.74,58.73,28,19,9,5,18,21,15,27,76,74,134,61,50,76,6.84,6.78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,2016-03-01,1,2.8,3.6,2.9,0.357,0.278,0.345,53.87,54.37,23,35,3,11,34,32,28,13,82,112,130,37,65,74,6.9,7.03,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
180,2016-12-01,0,3.32,3.25,2.6,0.301,0.308,0.385,46.8,48.02,7,28,2,8,15,18,36,18,58,80,139,49,53,52,6.71,6.81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,2016-12-01,2,2.1,3.75,4.1,0.476,0.267,0.244,48.49,49.68,21,29,8,9,22,28,33,23,75,92,140,52,66,60,6.74,6.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
182,2016-01-13,1,1.46,4.58,9.32,0.685,0.218,0.107,50.93,40.05,22,23,8,5,24,19,27,25,78,58,134,43,80,41,6.81,6.72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
